"Country","Continent","Land_Area","EEZ_Area","Ratio"
"Grenada","North
America",348.615829445119,25670.0437491935,0.0135806480445158
"Guadeloupe",NA,NA,91011.6073244203,NA
"Guam","Oceania",566.327035160099,209028.262482785,0.002709332357421
"Guantanamo Bay Naval Base","North
America",65.5463466723126,NA,NA
"Guatemala","North
America",109192.470333535,111121.322289,0.982641927618101
"Guernsey","Europe",73.7399849674136,3668.15714466999,0.020102733350604
"Guinea","Africa",245290.128703715,102587.08229093,2.39104303608215
"Guinea-Bissau","Africa",32957.8726416943,107300.869283715,0.307153827007217
"Guyana","South
America",212139.543298402,139251.041901682,1.52343235929382
"Haiti","North
America",26974.2347754851,103817.964261782,0.259822420592531
"Halaib Triangle",NA,NA,19783.8602651066,NA
"Heard and McDonald Islands",NA,NA,415582.424611804,NA
"Heard Island and McDonald Islands","Seven Seas*",393.248577860415,NA,NA
"Honduras","North
America",112641.88217229,211416.913675703,0.532795036186526
"Hong Kong","Asia",1038.83820265305,NA,NA
"Hungary","Europe",92946.8944498588,NA,NA
"Iceland","Europe",101722.423305787,803544.800866434,0.126592099402675
"India","Asia",3089890.09270609,1665440.50647621,1.8552989918828
"Indonesia","Asia",1888148.28628661,6045403.2038888,0.31232793291141
"Iran","Asia",1623489.71880076,215868.486750799,7.52073516258506
"Iraq","Asia",437585.697409991,1371.15959486695,319.135496005081
"Ireland","Europe",69160.0115911284,426309.052819074,0.162229751242182
"Islas San Félix and San Ambrosio",NA,NA,451792.035733686,NA
"Isle of Man","Europe",572.32088838592,3943.39121378238,0.145134189675533
"Israel","Asia",20634.5338981805,25970.325247462,0.794542759921616
"Italy","Europe",300678.673122574,535928.296597147,0.561042727229967
"Ivory Coast","Africa",322038.595696061,172522.42474164,1.86664774842069
"Jamaica","North
America",11068.0411657032,273078.916881002,0.0405305590490762
"Jan Mayen",NA,NA,290712.957544923,NA
"Japan","Asia",373333.214292734,4071511.82592728,0.0916940021923448
"Jersey","Europe",118.668642297712,2324.45974302556,0.0510521391707351
"Jordan","Asia",88940.8820096754,97.2045123584402,914.987173452475
"Juan de Nova Island",NA,NA,62982.1881171535,NA
"Kazakhstan","Asia",2712840.78972727,114144.111056222,23.766804652682
"Kenya","Africa",584924.46487591,124577.71596646,4.69525757747389
"Kerguélen",NA,NA,549104.421769111,NA
"Kiribati","Oceania",954.095719148003,3455268.40649624,0.000276127816106619
"Kosovo","Europe",10895.0147392875,NA,NA
"Kuril Islands",NA,NA,213305.376083283,NA
"Kuwait","Asia",17496.114445481,10789.4515486854,1.62159442178623
"Kyrgyzstan","Asia",198713.100252828,NA,NA
"Laos","Asia",228827.063996807,NA,NA
"Latvia","Europe",64259.1441642934,28181.481857496,2.28019039201805
"Lebanon","Asia",10003.0843593007,18862.5703524283,0.530313958935772
"Lesotho","Africa",30143.1383744674,NA,NA
"Liancourt Rocks",NA,NA,1622.93231201303,NA
"Liberia","Africa",95709.6101716979,252894.929839825,0.378456026114549
"Libya","Africa",1626534.01318605,357555.104975128,4.54904430269342
"Liechtenstein","Europe",136.876229023541,NA,NA
"Lithuania","Europe",64641.7283076057,6831.62332590331,9.46213296955427
"Luxembourg","Europe",2599.77782985993,NA,NA
"Macau","Asia",30.1542763022146,NA,NA
"Macquarie Island",NA,NA,474152.782773109,NA
"Madagascar","Africa",594755.556984432,1199543.87518996,0.495818093265033
"Madeira",NA,NA,453009.242212518,NA
"Malawi","Africa",119848.627373447,NA,NA
"Malaysia","Asia",329335.210133528,520139.806775503,0.633166709879739
"Maldives","Seven Seas*",109.221950727158,927925.129717744,0.000117705563982712
"Mali","Africa",1256813.92832763,NA,NA
"Malta","Europe",325.64484130633,52923.1062311071,0.00615316946598503
"Marshall Islands","Oceania",165.52712579476,2010282.32472632,0.0000823402383629349
"Martinique",NA,NA,47958.0937084401,NA
"Matthew and Hunter Islands",NA,NA,187632.543707092,NA
"Mauritania","Africa",1039357.14467536,173728.395144571,5.98265553429215
"Mauritius","Seven Seas*",2020.25788321672,275515.182720277,0.00733265536682904
"Melilla",NA,NA,27.0585547678997,NA
"Mexico","North
America",1962245.40831704,3195520.63527254,0.614061253949525
"Micronesia","Oceania",636.56176602533,3020550.99405038,0.000210743591907296
"Moldova","Europe",33115.7282595282,NA,NA
"Monaco","Europe",18.8033794556859,287.177687963996,0.0654764636800174
"Mongolia","Asia",1560538.97527518,NA,NA
"Montenegro","Europe",13704.1022954479,6373.67916739164,2.15010858493778
"Montserrat","North
America",99.9334060581899,7212.87991494017,0.0138548550976422
"Morocco","Africa",414207.535882827,280607.804278738,1.47610839601374
"Mozambique","Africa",791023.292730361,567884.314005286,1.39293034377244
"Myanmar","Asia",664957.276179779,499236.085065537,1.33194954465779
"Namibia","Africa",824823.812741811,563510.17156382,1.46372479923975
"Nauru","Oceania",28.8960621810571,310645.690686256,0.0000930193562872931
"Navassa Island",NA,NA,13934.145790737,NA
"Nepal","Asia",147323.231910959,NA,NA
"Netherlands","Europe",37254.1117992405,64021.6598792882,0.5818985616662
"New Caledonia","Oceania",18892.2022308274,1179200.41476655,0.0160211970707011
"New Zealand","Oceania",268104.741003321,4098278.44482341,0.0654188690721996
"Nicaragua","North
America",129183.422171311,214630.387322242,0.601887849074036
"Niger","Africa",1185159.96642151,NA,NA
"Nigeria","Africa",911219.918280964,179839.208146735,5.06685904409387
"Niue","Oceania",221.245968433821,319089.86884054,0.000693365694240781
"Norfolk Island","Oceania",41.2010521033247,431166.192208862,0.0000955572418427614
"North Korea","Asia",122246.131489759,114262.958836481,1.06986667188185
"Northern Mariana Islands","Oceania",581.290639184707,766030.544614158,0.000758834805311187
"Norway","Europe",379535.393156956,928419.6866985,0.40879722672254
"Oecusse",NA,NA,1834.08531348018,NA
"Oman","Asia",312090.351331692,558189.228239833,0.559112099521917
"Pakistan","Asia",873936.629526758,224887.378946042,3.88610794266246
"Palau","Oceania",494.035371585102,619081.460204051,0.000798013514121819
"Palestine","Asia",6283.5348503637,1121.03170676251,5.60513570888219
"Panama","North
America",74842.9573492323,332707.610311297,0.224951143375427
"Papua New Guinea","Oceania",467150.814103953,2412538.47194886,0.193634555276786
"Paraguay","South
America",400858.200525134,NA,NA
"Peñón de Vélez de la Gomera",NA,NA,3.68527941037216,NA
"Perejil Island",NA,NA,0.641185481361378,NA
"Peru","South
America",1295127.07746601,874148.199866334,1.48158753591673
"Philippines","Asia",294376.627985556,1972259.81161688,0.149258544057754
"Pitcairn Islands","Oceania",42.6631822409129,844106.981965077,0.0000505423875793483
"Poland","Europe",312220.952568845,30528.284492121,10.2272681797572
"Portugal","Europe",91303.5183358231,315291.350598251,0.289584595843111
"Prince Edward Islands",NA,NA,473644.660279955,NA
"Puerto Rico","North
America",9034.57869327678,18347.6764439254,0.492409963784159
"Qatar","Asia",11172.7818458306,31549.3273597755,0.354136927181388
"Quitasueño Bank",NA,NA,3702.95094259351,NA
"Republic of Macedonia","Europe",25349.0429066281,NA,NA
"Republic of Mauritius",NA,NA,1282425.49992432,NA
"Republic of the Congo","Africa",346428.881864505,33954.3445434215,10.2027851375981
"Réunion",NA,NA,315982.501494962,NA
"Romania","Europe",235805.436473905,29545.1163992538,7.98119842505887
"Russia","Europe",16854366.0310175,7682195.77409818,2.19395164177471
"Rwanda","Africa",25418.2698256972,NA,NA
"Saba",NA,NA,9518.47779001627,NA
"Saint-Barthélemy","North
America",24.5018422348043,4192.65671366399,0.005843989600902
"Saint-Pierre and Miquelon",NA,NA,12384.0751738464,NA
"Saint Helena","Seven Seas*",367.356222196158,450770.986912313,0.000814950901593005
"Saint Kitts and Nevis","North
America",265.003686141776,9533.44907730205,0.0277972519696693
"Saint Lucia","North
America",607.378493746608,15470.3553154666,0.039260797917122
"Saint Martin","North
America",68.4977215019988,NA,NA
"Saint Pierre and Miquelon","North
America",242.100840838133,NA,NA
"Saint Vincent and the Grenadines","North
America",369.118374463191,36381.3678761742,0.0101458080333731
"Samoa","Oceania",2790.7851697721,130972.931723276,0.0213081064388829
"San Marino","Europe",60.1981061101662,NA,NA
"Sao Tome and Principe",NA,NA,131430.427229856,NA
"São Tomé and Principe",NA,NA,34688.2182439815,NA
"São Tomé and Príncipe","Africa",1041.81196441459,NA,NA
"Saudi Arabia","Asia",1926007.50626003,224718.365109406,8.57076147435631
"Senegal","Africa",196942.295103705,222662.734992802,0.884487002776064
"Senkaku Islands",NA,NA,73927.9133015623,NA
"Serbia","Europe",77415.592824399,NA,NA
"Serrana Bank",NA,NA,2848.47307930923,NA
"Serranilla Bank",NA,NA,1557.90080391589,NA
"Seychelles","Seven Seas*",437.539954327524,1347273.75422743,0.000324759502628643
"Sierra Leone","Africa",71911.8224812179,161275.142209311,0.445895266289005
"Singapore","Asia",512.791936076086,677.651664818407,0.756719067772823
"Sint-Eustatius",NA,NA,2182.88867948405,NA
"Sint-Maarten","North
America",23.4333477482642,467.479900936623,0.0501269631086044
"Slovakia","Europe",48308.2665797483,NA,NA
"Slovenia","Europe",20276.8091123036,213.866021827922,94.8108022910645
"Solomon Islands","Oceania",27312.0235406944,1609282.34216713,0.0169715548509126
"Somalia","Africa",641965.605399207,NA,NA
"South Africa","Africa",1221448.40265095,1073109.87183784,1.1382323792801
"South Georgia and the South Sandwich Islands","Seven Seas*",3904.09540013756,1231863.78117474,0.00316925902019337
"South Korea","Asia",98521.5986485307,430331.471151469,0.228943512741258
"South Sudan","Africa",632927.554359903,NA,NA
"Spain","Europe",506327.580617326,560958.341190875,0.902611733239277
"Sri Lanka","Asia",66573.0198668108,535851.480035333,0.1242378202677
"Sudan","Africa",1853102.26654224,63011.8042036167,29.4088114118129
"Suriname","South
America",145764.521329205,134235.964219409,1.08588277498385
"Svalbard",NA,NA,790202.101960027,NA
"Sweden","Europe",443498.809575221,154549.376227085,2.86962536117629
"Switzerland","Europe",41326.3241608659,NA,NA
"Syria","Asia",187236.330079706,10269.4030958918,18.2324452873614
"Taiwan",NA,NA,356388.851658618,NA
"Tajikistan","Asia",142135.948158899,NA,NA
"Tanzania","Africa",945556.880890065,242598.428641619,3.89762162180736
"Thailand","Asia",516275.850502881,299796.500404513,1.72208764880936
"The Bahamas","North
America",12620.707299269,NA,NA
"The Gambia","Africa",10540.4166853835,NA,NA
"Togo","Africa",57101.6510302191,15514.9425318533,3.68042942556733
"Tokelau",NA,NA,321889.490352029,NA
"Tonga","Oceania",604.863594628148,667959.103376715,0.000905539862501159
"Trindade",NA,NA,473820.593660129,NA
"Trinidad and Tobago","North
America",5143.65683899901,76868.2230464797,0.0669152562026679
"Tristan da Cunha",NA,NA,757592.079446998,NA
"Tunisia","Africa",156653.474389099,99686.6734105701,1.57145854134289
"Turkey","Asia",779426.127375873,261928.053288944,2.97572603464531
"Turkmenistan","Asia",470450.673758343,61171.3305416192,7.69070526328116
"Turks and Caicos Islands","North
America",446.392867500175,91250.0017318806,0.00489197653729157
"Tuvalu","Oceania",23.1161195875905,756314.89166432,0.0000305641470799576
"Uganda","Africa",242936.235226695,NA,NA
"Ukraine","Europe",597213.254307753,135897.658176871,4.39458090977902
"United Arab Emirates","Asia",71246.9107366131,51782.2217405553,1.37589520769468
"United Kingdom","Europe",242737.540609053,731728.516203043,0.331731694520563
"United States",NA,NA,8430.7757988115,NA
"United States of America","North
America",9448341.13964449,10350457.0701736,0.91284288950594
"Uruguay","South
America",177442.565417621,184482.639099753,0.96183882821448
"Uzbekistan","Asia",447178.751000646,NA,NA
"Vanuatu","Oceania",12338.8826133284,627965.962837457,0.0196489672108586
"Vatican City","Europe",0.0121857345913696,NA,NA
"Venezuela","South
America",916572.089105608,475469.094871845,1.92772169419898
"Vietnam","Asia",329987.160602068,755130.527391409,0.43699353771593
"Wake Island / Enenkio",NA,NA,408185.849947416,NA
"Wallis and Futuna","Oceania",139.849042323367,251573.744819126,0.000555896810392177
"Western Sahara",NA,NA,284728.409337403,NA
"Yemen","Asia",454650.268217254,529395.504644204,0.858810216990442
"Zambia","Africa",754730.993732454,NA,NA
"Zimbabwe","Africa",390528.642687799,NA,NA
