"Country","Continent","Land_Area","EEZ_Area","Ratio"
"Abu musa, Greater and Lesser Tunb",NA,NA,6184.83316756941,NA
"Afghanistan","Asia",642393.199281961,NA,NA
"Albania","Europe",28298.4185576477,12149.995592411,2.3290887920423
"Algeria","Africa",2312302.79471288,131138.109961076,17.6325767955571
"Alhucemas Islands",NA,NA,14.0586206806374,NA
"American Samoa","Oceania",180.968458249555,407334.39008681,0.000444274931490532
"Amsterdam and Saint Paul Islands",NA,NA,511850.137097653,NA
"Andaman and Nicobar",NA,NA,667146.164636106,NA
"Andorra","Europe",451.502718533631,NA,NA
"Angola","Africa",1249442.02569819,497801.356869677,2.50992089205031
"Anguilla","North
America",80.9300578897396,90426.7342878615,0.000894979328039311
"Antigua and Barbuda","North
America",452.971796711208,111913.95723742,0.00404750048959713
"Argentina","South
America",2784527.74701515,1072499.33031072,2.59629788879069
"Armenia","Asia",29555.0579520682,NA,NA
"Aruba","North
America",170.421696375093,30126.4385829776,0.00565688160934452
"Ascension",NA,NA,447888.734344306,NA
"Australia","Oceania",7705934.39713499,6884674.74845286,1.11928808239876
"Australian Indian Ocean Territories","Asia",112.379374170651,NA,NA
"Austria","Europe",83755.9495044311,NA,NA
"Azerbaijan","Asia",86152.9059284835,80524.0279753403,1.06990308476455
"Azores",NA,NA,959750.726703948,NA
"Bahamas",NA,NA,621064.322517318,NA
"Bahrain","Asia",586.050159246177,7529.75233509996,0.0778312663106199
"Bajo Nuevo Bank",NA,NA,1555.86512267059,NA
"Bangladesh","Asia",137217.452487781,112485.051791479,1.21987277689262
"Barbados","North
America",445.905694171437,185772.324187393,0.00240028053759849
"Bassas da India",NA,NA,121041.906548446,NA
"Belarus","Europe",206631.89176714,NA,NA
"Belgium","Europe",30561.5296947123,3518.22897703672,8.68662326818
"Belize","North
America",22373.3001261509,34425.6670192029,0.649901717624554
"Benin","Africa",116589.944502905,35648.5877792477,3.27053473267673
"Bermuda","North
America",62.3428169500132,464687.081864619,0.000134160856591611
"Bhutan","Asia",40431.578445436,NA,NA
"Bolivia","South
America",1090457.31247911,NA,NA
"Bonaire",NA,NA,13054.5078155723,NA
"Bosnia and Herzegovina","Europe",51721.4783403775,12.9572853778934,3991.69091610964
"Botswana","Africa",580515.062115921,NA,NA
"Brazil","South
America",8504961.36324712,3216510.83232752,2.64415753796569
"British Indian Ocean Territory","Seven Seas*",49.270811284471,NA,NA
"British Virgin Islands","North
America",145.395705193328,81788.3539956177,0.00177770670383119
"Brunei","Asia",5741.88820312678,43225.2529758988,0.132836427963263
"Bulgaria","Europe",112569.108501915,34684.5585159568,3.24551077823659
"Burkina Faso","Africa",273827.427416337,NA,NA
"Burundi","Africa",27161.4297506156,NA,NA
"Cambodia","Asia",181754.179501119,48894.5419656957,3.71726929416043
"Cameroon","Africa",466332.148665474,15209.8338622141,30.6599107452439
"Canada","North
America",9894403.12259951,5733031.39473853,1.72585887662853
"Canary Islands",NA,NA,446558.891251644,NA
"Cape Verde","Africa",3896.63744542657,804696.755370234,0.00484236753711497
"Cayman Islands","North
America",310.125247728415,118650.966752711,0.00261376081641854
"Central African Republic","Africa",620644.640749747,NA,NA
"Ceuta",NA,NA,32.716075906053,NA
"Chad","Africa",1270723.15652993,NA,NA
"Chafarinas Islands",NA,NA,25.5137443579149,NA
"Chagos Archipelago",NA,NA,650461.915419571,NA
"Chile","South
America",736362.413540895,2485717.47710194,0.296237372237254
"China","Asia",9379073.48966126,1305167.56771541,7.18610676641204
"Christmas Island",NA,NA,329297.604850047,NA
"Clipperton Island","Seven Seas*",5.02226876780927,437421.509206312,0.0000114815313424391
"Cocos Islands",NA,NA,469260.877612186,NA
"Collectivity of Saint Martin",NA,NA,1103.07385329084,NA
"Colombia","South
America",1140095.32496815,722159.437163285,1.57873077093136
"Comores",NA,NA,165126.724508069,NA
"Comoros","Africa",1678.78248719314,66990.6104502364,0.0250599670000054
"Cook Islands","Oceania",191.689274633509,1976465.02866079,0.0000969859177136027
"Costa Rica","North
America",51353.3091548067,601632.797080168,0.0853565653402433
"Croatia","Europe",54954.3236786812,55154.9661679112,0.996362204472772
"Crozet Islands",NA,NA,574007.980844991,NA
"Cuba","North
America",110221.970775782,353197.460093513,0.312068979053813
"Curaçao","North
America",465.05272092215,25497.0302675471,0.0182394857770583
"Cyprus","Asia",8941.17329584409,98468.0977099855,0.090802742246308
"Czech Republic","Europe",78497.1794259054,NA,NA
"Democratic Republic of the Congo","Africa",2335423.5010244,13431.0032611638,173.88302687539
"Denmark","Europe",42494.8976595225,103732.5054607,0.409658452485968
"Djibouti","Africa",21933.5316788661,7251.67436706268,3.02461618774401
"Dominica","North
America",732.896608856419,28653.2417018435,0.0255781393422325
"Dominican Republic","North
America",48588.9976006601,364914.605578605,0.133151693184815
"Doumeira Islands",NA,NA,245.924465127286,NA
"East Timor","Asia",15145.1909798398,75957.5576797969,0.199390178442613
"Easter Island",NA,NA,731041.623413042,NA
"Ecuador","South
America",256155.36414725,256097.411640979,1.00022629087073
"Egypt","Africa",1002890.58969445,251298.827384786,3.99082876801028
"El Salvador","North
America",20615.8930752679,95471.569992687,0.215937509740827
"Equatorial Guinea","Africa",26791.1115223751,305490.750507046,0.0876986012764964
"Eritrea","Africa",122971.973443509,78382.1548485069,1.56887717212142
"Estonia","Europe",45576.3690962998,36257.1596509229,1.25703087431836
"eSwatini","Africa",17142.7037428801,NA,NA
"Ethiopia","Africa",1132067.95140277,NA,NA
"Europa Island",NA,NA,128236.484381082,NA
"Faeroe",NA,NA,264944.269259586,NA
"Falkland Islands","South
America",11553.3623025394,548503.478290085,0.0210634257754501
"Faroe Islands","Europe",1320.576574663,NA,NA
"Federal Republic of Somalia",NA,NA,824980.613783059,NA
"Fiji","Oceania",18992.1888145861,1306250.41284017,0.0145394700953943
"Finland","Europe",331874.395480544,81072.2865698115,4.09356155502986
"France","Europe",635739.192398872,350539.829846098,1.81360044785207
"French Guiana",NA,NA,131812.27870088,NA
"French Polynesia","Oceania",3348.2680447205,4781074.12573706,0.000700317116335092
"French Southern and Antarctic Lands","Seven Seas*",7256.98078133221,NA,NA
"Gabon","Africa",261133.616173464,202655.046735034,1.28856211765054
"Galapagos",NA,NA,845196.328727839,NA
"Gambia",NA,NA,23183.6802318269,NA
"Georgia","Asia",69462.2056758852,22906.7947002921,3.03238434642274
"Germany","Europe",356379.187715116,56579.9642539055,6.29868174033914
"Ghana","Africa",239676.519197383,228509.33327284,1.0488697147053
"Gibraltar","Europe",3.69171323172763,388.21508509921,0.00950945332478308
"Glorioso Islands",NA,NA,43677.7071878307,NA
"Greece","Europe",131243.897350215,482811.610345809,0.271832521293787
"Greenland","North
America",2137891.70509928,2252398.29599562,0.949162370127911
