date	n	r L1_alb	prob	cpue_r L1_alb	prob	n	r L2_alb	prob	cpue_r L2_alb	prob	n	r L3_alb	prob	cpue_r L3_alb	prob	n	r L4_alb	prob	cpue_r L4_alb	prob	n	r L5_alb	prob	cpue_r L5_alb	prob	n	r L6_alb	prob	cpue_r L6_alb	prob	n	r L7_alb	prob	cpue_r L7_alb	prob	n	r T8_alb	prob	cpue_r T8_alb	prob	n	r G9_alb	prob	cpue_r G9_alb	prob	n	r L10_alb	prob	cpue_r L10_alb	prob	n	r L11_alb	prob	cpue_r L11_alb	prob	n	r L12_alb	prob	cpue_r L12_alb	prob	n	r L13_alb	prob	cpue_r L13_alb	prob	n	r L14_alb	prob	cpue_r L14_alb	prob	n	r L15_alb	prob	cpue_r L15_alb	prob	n	r L16_alb	prob	cpue_r L16_alb	prob	
11-1979	8	0.825162	0.0116706	0.0646588	0.879102	35	0.728348	7.05976e-07	0.666382	1.24214e-05	37	0.932107	5.22471e-17	0.464847	0.00374716	0	0	1	0	1	0	0	1	0	1	102	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	19	0.670164	0.00169173	0.117205	0.632754	0	0	1	0	1	10	0.661913	0.0370787	0.371352	0.290726	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
12-1979	6	0.876642	0.0218874	0.291263	0.57546	40	0.816999	1.2766e-10	0.465893	0.00244763	44	0.828314	3.95918e-12	0.353775	0.0184793	0	0	1	0	1	0	0	1	0	1	110	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	10	0.947354	3.15314e-05	0.57346	0.0830633	0	0	1	0	1	6	0.485722	0.328714	0.443841	0.377956	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
1-1980	10	0.897918	0.000419333	0.487988	0.152466	44	0.861003	6.56363e-14	0.654913	1.41263e-06	38	0.836425	6.19412e-11	0.58977	9.75519e-05	0	0	1	0	1	0	0	1	0	1	164	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	8	0.966966	8.7906e-05	0.0269696	0.949456	0	0	1	0	1	13	0.628215	0.0214866	0.225341	0.45917	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
2-1980	4	0.532705	0.467295	0.759944	0.240056	38	0.326741	0.0452615	0.571309	0.000179509	37	0.829359	2.26237e-10	0.607966	6.57249e-05	0	0	1	0	1	0	0	1	0	1	137	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	8	0.76568	0.0267761	0.141688	0.737868	0	0	1	0	1	8	-0.289093	0.487395	-0.473568	0.235885	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
3-1980	5	0.544432	0.342764	0.617533	0.267047	47	0.517126	0.000197737	0.447638	0.00160524	41	0.932693	7.2389e-19	0.0680588	0.672439	0	0	1	0	1	0	0	1	0	1	176	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	8	0.919768	0.00121473	0.21946	0.601534	0	0	1	0	1	6	-0.200162	0.703767	0.356586	0.487791	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
4-1980	8	-0.00830978	0.98442	0.497861	0.209294	53	0.740998	2.23503e-10	0.511391	9.10274e-05	46	0.973818	6.04514e-30	0.301328	0.0418478	0	0	1	0	1	0	0	1	0	1	139	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	2	0.261654	-nan	0.675358	-nan	0	0	1	0	1	7	0.422695	0.34476	0.207051	0.655986	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
5-1980	15	0.205679	0.462094	0.624609	0.0128	60	0.81549	2.13175e-15	0.62903	7.34506e-08	52	0.97745	1.95471e-35	0.648903	1.96256e-07	0	0	1	0	1	0	0	1	0	1	115	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	4	-0.284559	0.715441	0.407851	0.592149	0	0	1	0	1	8	0.0407411	0.923695	0.293225	0.480906	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
6-1980	14	0.705892	0.00478528	0.101764	0.729219	59	0.809966	7.94555e-15	0.648633	2.77136e-08	49	0.981924	1.24272e-35	0.469287	0.000670083	0	0	1	0	1	0	0	1	0	1	158	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	13	0.910086	1.57557e-05	0.0271555	0.929829	0	0	1	0	1	13	-0.0832424	0.786882	0.334323	0.264218	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
7-1980	9	0.98878	4.87328e-07	-0.116673	0.764995	51	0.869217	1.33023e-16	0.561444	1.8173e-05	53	0.845764	1.5914e-15	0.635068	3.26109e-07	0	0	1	0	1	0	0	1	0	1	176	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	19	0.490595	0.0329518	-0.0762	0.756523	0	0	1	0	1	10	0.123034	0.734901	0.179919	0.618922	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
8-1980	12	0.956758	1.10714e-06	-0.298642	0.345735	45	0.526349	0.000204144	0.726066	1.65788e-08	53	0.910417	3.43282e-21	0.541668	2.80685e-05	0	0	1	0	1	0	0	1	0	1	165	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	24	0.401184	0.0520182	-0.164384	0.442745	0	0	1	0	1	14	0.17903	0.540276	0.415041	0.140027	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
9-1980	15	0.944465	1.1882e-07	0.458637	0.085522	50	0.741658	7.2078e-10	0.814131	6.50258e-13	52	0.79615	1.72148e-12	0.0803625	0.571168	0	0	1	0	1	0	0	1	0	1	147	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	30	0.308561	0.0971142	-0.0715093	0.70728	0	0	1	0	1	16	0.324496	0.220118	0.162039	0.548796	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
10-1980	15	0.64783	0.00901449	0.512425	0.0508157	56	0.784503	8.47782e-13	0.634826	1.48409e-07	45	0.902826	2.31378e-17	0.238179	0.115126	0	0	1	0	1	0	0	1	0	1	145	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	27	0.368966	0.0582343	0.01827	0.927931	0	0	1	0	1	22	0.784917	1.51993e-05	0.380578	0.0805826	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
11-1980	9	0.724103	0.0273865	0.273518	0.476374	57	0.864316	4.72494e-18	0.546741	1.08179e-05	49	0.900487	1.29003e-18	0.373116	0.00827851	0	0	1	0	1	0	0	1	0	1	165	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	22	0.694267	0.000337649	0.473372	0.0260668	0	0	1	0	1	17	0.679996	0.00266984	0.754511	0.000465256	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
12-1980	6	0.870313	0.0241374	0.076455	0.885541	63	0.762752	3.73944e-13	0.698011	2.03972e-10	43	0.85122	4.77674e-13	0.167395	0.283304	0	0	1	0	1	0	0	1	0	1	148	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	17	0.700328	0.00174403	0.646069	0.00508058	0	0	1	0	1	16	0.698666	0.00260467	0.822504	9.17839e-05	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
1-1981	15	0.531098	0.0416332	0.524688	0.0446336	51	0.865198	2.66082e-16	0.624058	9.93402e-07	46	0.865355	8.63718e-15	0.303184	0.0405416	0	0	1	0	1	0	0	1	0	1	178	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	12	0.0029422	0.99276	0.549376	0.0642902	0	0	1	0	1	17	0.62952	0.00677147	0.500122	0.0409118	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
2-1981	16	0.731445	0.00128166	0.383238	0.142856	58	0.701842	8.36539e-10	0.338705	0.00930303	40	0.849458	4.21992e-12	0.626555	1.52465e-05	0	0	1	0	1	0	0	1	0	1	113	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	6	0.867314	0.0252403	0.57036	0.237232	0	0	1	0	1	16	0.718039	0.00173263	0.395349	0.129606	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
3-1981	11	0.675064	0.0226592	0.365647	0.268797	68	0.665504	5.96463e-10	0.260383	0.0319926	43	0.816282	2.538e-11	0.246385	0.111226	0	0	1	0	1	0	0	1	0	1	116	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	4	0.57415	0.42585	0.447319	0.552681	0	0	1	0	1	17	0.747677	0.000559343	0.282943	0.271147	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
4-1981	9	0.440786	0.235015	0.215109	0.578332	48	0.904227	1.29444e-18	0.607255	4.73117e-06	43	0.972936	1.04283e-27	0.338415	0.0264396	0	0	1	0	1	0	0	1	0	1	144	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	3	-0.182457	0.88319	0.288715	0.813544	0	0	1	0	1	13	0.340507	0.254933	-0.0231635	0.940127	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
