date	n	r L1_alb	prob	cpue_r L1_alb	prob	n	r L2_alb	prob	cpue_r L2_alb	prob	n	r L3_alb	prob	cpue_r L3_alb	prob	n	r L4_alb	prob	cpue_r L4_alb	prob	n	r L5_alb	prob	cpue_r L5_alb	prob	n	r L6_alb	prob	cpue_r L6_alb	prob	n	r L7_alb	prob	cpue_r L7_alb	prob	n	r T8_alb	prob	cpue_r T8_alb	prob	n	r G9_alb	prob	cpue_r G9_alb	prob	n	r L10_alb	prob	cpue_r L10_alb	prob	n	r L11_alb	prob	cpue_r L11_alb	prob	n	r L12_alb	prob	cpue_r L12_alb	prob	n	r L13_alb	prob	cpue_r L13_alb	prob	n	r L14_alb	prob	cpue_r L14_alb	prob	n	r L15_alb	prob	cpue_r L15_alb	prob	n	r L16_alb	prob	cpue_r L16_alb	prob	
1-1983	9	0.98303	2.06175e-06	0.319567	0.401872	27	0.973232	1.75542e-17	0.783033	1.37915e-06	32	0.965356	4.67918e-19	0.678866	1.94451e-05	0	0	1	0	1	0	0	1	0	1	119	1	0	1	0	0	0	1	0	1	32	1	2.3841e-203	1	4.88525e-194	0	0	1	0	1	11	0.555211	0.0762252	0.796372	0.00335363	0	0	1	0	1	7	0.816097	0.0251619	0.807873	0.0279382	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
2-1983	14	0.56506	0.035241	0.367936	0.195556	39	0.741248	6.76851e-08	0.683971	1.58531e-06	31	0.91438	6.53024e-13	0.611445	0.000257799	0	0	1	0	1	0	0	1	0	1	63	1	0	1	0	0	0	1	0	1	20	1	7.13399e-101	1	7.41955e-101	0	0	1	0	1	6	0.714522	0.110614	-0.0644741	0.903423	0	0	1	0	1	13	0.0474639	0.87763	-0.0882327	0.774395	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
3-1983	16	0.476771	0.0618714	0.380604	0.145856	45	0.773895	4.54328e-10	0.18587	0.221537	31	0.929347	4.44102e-14	0.193818	0.296146	0	0	1	0	1	0	0	1	0	1	81	1	0	1	0	0	0	1	0	1	28	1	1.92433e-166	1	6.20876e-156	0	0	1	0	1	4	-0.633307	0.366693	-0.90395	0.0960504	0	0	1	0	1	17	-0.196741	0.449147	-0.0568517	0.828422	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
4-1983	12	0.0272209	0.933077	0.352057	0.261737	36	0.982876	1.46411e-26	0.40327	0.0147363	24	0.986454	9.12336e-19	0.470594	0.0202962	0	0	1	0	1	0	0	1	0	1	34	1	2.86731e-216	1	1.52674e-202	0	0	1	0	1	20	1	9.82132e-135	1	2.31557e-125	0	0	1	0	1	2	0.368558	-nan	0.0854261	-nan	0	0	1	0	1	14	0.303444	0.291583	-0.02129	0.942411	0	0	1	0	1	0	0	1	0	1	2	1	-nan	-1	-nan	0	0	1	0	1	
5-1983	17	0.570987	0.0166677	0.388837	0.122942	43	0.972335	1.62596e-27	0.564538	8.03731e-05	25	0.929379	1.95221e-11	-0.186895	0.371027	0	0	1	0	1	0	0	1	0	1	64	1	0	1	0	0	0	1	0	1	12	1	-nan	-nan	-nan	0	0	1	0	1	10	0.282653	0.428772	-0.0509626	0.888808	0	0	1	0	1	7	0.995639	2.40644e-06	0.62467	0.133682	0	0	1	0	1	0	0	1	0	1	1	-nan	-nan	-nan	-nan	0	0	1	0	1	
6-1983	16	0.836067	5.46634e-05	-0.289053	0.277561	50	0.937022	1.43846e-23	0.746536	4.84841e-10	24	0.869103	3.59108e-08	0.159906	0.455439	0	0	1	0	1	0	0	1	0	1	36	1	1.86925e-241	1	1.86925e-241	0	0	1	0	1	12	1	4.25157e-78	-1.85351e-10	1	0	0	1	0	1	12	0.829603	0.000843466	0.209866	0.512684	0	0	1	0	1	9	0.306279	0.422793	0.638248	0.0643429	0	0	1	0	1	0	0	1	0	1	1	-nan	-nan	-nan	-nan	0	0	1	0	1	
7-1983	12	0.959641	7.87941e-07	-0.368944	0.237925	48	0.972385	1.02567e-30	0.757579	4.57559e-10	17	0.91595	2.46554e-07	0.484419	0.0487742	0	0	1	0	1	0	0	1	0	1	66	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	21	0.711846	0.000295435	-0.132793	0.566088	0	0	1	0	1	11	0.526652	0.0960278	0.514417	0.105453	0	0	1	0	1	0	0	1	0	1	2	1	-nan	-1	-nan	0	0	1	0	1	
8-1983	16	0.879181	7.27964e-06	0.349515	0.184519	48	0.810472	2.95495e-12	0.714942	1.13985e-08	19	0.982843	6.40893e-14	0.401506	0.0884058	0	0	1	0	1	0	0	1	0	1	145	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	23	0.0371405	0.866391	-0.390658	0.0653184	0	0	1	0	1	10	0.722779	0.0181971	0.549535	0.0998677	0	0	1	0	1	0	0	1	0	1	2	1	-nan	1	-nan	0	0	1	0	1	
9-1983	16	0.96887	6.99571e-10	0.191989	0.47626	23	0.795427	5.71935e-06	0.080083	0.716432	28	0.935073	3.20489e-13	0.505387	0.00608231	0	0	1	0	1	0	0	1	0	1	195	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	27	0.380059	0.0505256	-0.630763	0.000419935	0	0	1	0	1	16	0.78538	0.000312052	0.526192	0.0362832	0	0	1	0	1	0	0	1	0	1	2	1	-nan	-1	-nan	0	0	1	0	1	
10-1983	13	0.669451	0.0123221	0.348584	0.243101	24	0.910225	6.91209e-10	0.798845	2.86639e-06	30	0.900758	1.1892e-11	0.178608	0.345002	0	0	1	0	1	0	0	1	0	1	150	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	25	0.870808	1.50862e-08	-0.0487044	0.817166	0	0	1	0	1	16	0.510574	0.0432909	0.528062	0.0355055	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
11-1983	8	0.273238	0.512607	0.363191	0.376532	25	0.952689	2.18793e-13	0.799658	1.61877e-06	26	0.920306	2.87056e-11	0.485699	0.0118888	0	0	1	0	1	3	0.996759	0.0512658	0.879204	0.31615	129	1	0	1	0	0	0	1	0	1	0	0	1	0	1	12	1	2.78993e-69	-nan	-nan	19	0.833993	9.11152e-06	0.318868	0.18332	0	0	1	0	1	19	0.39432	0.0948008	0.509807	0.0257591	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
12-1983	7	-0.26157	0.570978	0.418423	0.350176	30	0.41024	0.024344	0.676106	4.11613e-05	20	0.972682	7.28809e-13	0.307565	0.187117	0	0	1	0	1	3	0.997447	0.0455025	0.993121	0.0747153	131	1	0	1	0	0	0	1	0	1	13	1	2.7787e-75	-nan	-nan	36	1	4.881e-201	1	3.04527e-192	16	0.77672	0.00040149	0.753173	0.000756598	0	0	1	0	1	12	0.227238	0.477537	0.320431	0.309897	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
1-1984	8	0.409395	0.313842	0.30323	0.465334	32	0.525171	0.00202674	0.759645	4.61176e-07	24	0.980005	6.41616e-17	0.466238	0.0216502	0	0	1	0	1	0	0	1	0	1	128	1	0	1	0	0	0	1	0	1	36	1	1.11103e-166	1	2.87059e-166	68	1	1.43279e-322	1	1.02736e-316	13	0.324995	0.278598	0.386024	0.192645	0	0	1	0	1	10	0.658462	0.0384342	0.520527	0.122944	0	0	1	0	1	0	0	1	0	1	3	-0.0189751	0.987919	-0.0189751	0.987919	0	0	1	0	1	
2-1984	11	0.732072	0.0104238	0.432426	0.184075	41	0.74146	2.9332e-08	0.341338	0.0289548	27	0.856289	1.22189e-08	0.126117	0.530775	0	0	1	0	1	0	0	1	0	1	111	1	0	1	0	0	0	1	0	1	45	1	3.10498e-203	1	8.83812e-202	84	1	0	1	0	11	0.517975	0.102653	0.407929	0.212973	0	0	1	0	1	9	0.0149281	0.969594	0.352597	0.352013	0	0	1	0	1	0	0	1	0	1	1	-nan	-nan	-nan	-nan	0	0	1	0	1	
3-1984	5	-0.277744	0.650966	0.524026	0.364727	39	0.795526	1.4367e-09	0.362751	0.0232319	27	0.926876	3.89424e-12	0.109102	0.588022	0	0	1	0	1	0	0	1	0	1	138	1	0	1	0	0	0	1	0	1	37	1	6.38895e-143	1	2.27045e-143	76	1	0	1	0	8	0.797618	0.017705	0.413687	0.30829	0	0	1	0	1	13	0.265883	0.379933	0.433514	0.138901	0	0	1	0	1	0	0	1	0	1	1	-nan	-nan	-nan	-nan	0	0	1	0	1	
4-1984	7	-0.245863	0.595111	0.454685	0.305354	41	0.981452	1.36264e-29	0.472305	0.0018216	23	0.977523	1.11457e-15	0.330755	0.123184	0	0	1	0	1	0	0	1	0	1	178	1	0	1	0	0	0	1	0	1	37	1	1.41546e-191	1	2.21433e-192	45	1	2.27549e-229	1	6.54471e-219	14	0.62517	0.0168135	0.250477	0.387746	0	0	1	0	1	17	0.538427	0.0257617	0.408388	0.103641	0	0	1	0	1	0	0	1	0	1	3	0.999997	0.00159718	-0.86162	0.3389	0	0	1	0	1	
5-1984	17	0.649273	0.00479657	0.452457	0.0682138	50	0.944628	7.14277e-25	0.798152	3.87752e-12	31	0.975425	1.33728e-20	0.146208	0.432553	0	0	1	0	1	3	0.760897	0.449519	0.0967566	0.938306	171	1	0	1	0	0	0	1	0	1	12	1	1.32892e-79	-3.50498e-09	1	24	1	7.15184e-121	1	7.85255e-107	18	0.703765	0.00111682	-0.0415873	0.869855	0	0	1	0	1	12	0.71825	0.0085108	0.498672	0.0988924	0	0	1	0	1	0	0	1	0	1	1	-nan	-nan	-nan	-nan	0	0	1	0	1	
6-1984	15	0.537153	0.0389388	0.178708	0.523962	42	0.975216	8.01973e-28	0.855231	5.54427e-13	26	0.948759	1.66294e-13	0.2674	0.186629	0	0	1	0	1	1	-nan	-nan	-nan	-nan	91	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	18	0.682999	0.00178388	0.354533	0.148863	0	0	1	0	1	13	0.265749	0.380182	0.37476	0.207067	0	0	1	0	1	0	0	1	0	1	2	1	-nan	-1	-nan	0	0	1	0	1	
7-1984	12	0.924253	1.72759e-05	0.428886	0.164164	44	0.930536	6.21895e-20	0.823364	6.83253e-12	28	0.945388	3.58615e-14	0.245552	0.207854	0	0	1	0	1	4	0.911604	0.0883963	-0.631479	0.368521	114	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	23	0.664544	0.00054261	0.106717	0.627929	0	0	1	0	1	10	0.703656	0.0231613	0.192971	0.593246	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
8-1984	16	0.761937	0.000602592	0.278591	0.296099	38	0.815102	4.66634e-10	0.759793	3.16889e-08	38	0.940072	2.10951e-18	0.314173	0.0547378	0	0	1	0	1	2	1	-nan	1	-nan	49	1	8.02343e-281	1	3.96316e-265	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	25	0.605103	0.0013522	-0.139114	0.507206	0	0	1	0	1	13	0.878086	7.89043e-05	0.233909	0.4418	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
9-1984	13	0.837046	0.000358316	0.0100675	0.97396	30	0.561582	0.0012419	0.44903	0.0128069	40	0.915434	1.33431e-16	0.0953934	0.558193	0	0	1	0	1	4	0.761263	0.238737	0.13378	0.86622	112	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	26	0.595377	0.0013332	-0.271356	0.179945	0	0	1	0	1	14	0.71025	0.00442152	0.634448	0.0148052	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
10-1984	7	0.934186	0.0020595	0.454543	0.305524	33	0.689755	8.97916e-06	0.558879	0.000723197	30	0.908307	4.12081e-12	-0.0928833	0.62542	0	0	1	0	1	0	0	1	0	1	124	1	0	1	0	0	0	1	0	1	13	1	1.06427e-109	-1.61283e-10	1	0	0	1	0	1	21	0.702269	0.000386499	-0.106535	0.645787	0	0	1	0	1	16	0.933146	1.3396e-07	0.373654	0.153975	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
11-1984	3	-0.033978	0.978365	0.91931	0.257496	31	0.925395	9.52871e-14	0.871016	1.86421e-10	24	0.968003	1.06957e-14	0.204607	0.337531	0	0	1	0	1	1	0.923485	-nan	0.767282	-nan	110	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	14	0.804959	0.000514596	-0.00117684	0.996814	0	0	1	0	1	14	0.285726	0.322046	0.525974	0.0533719	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
12-1984	4	0.98953	0.0104698	0.669199	0.330801	33	0.956697	3.59294e-18	0.697733	6.38478e-06	24	0.888957	6.47267e-09	-0.27403	0.195053	0	0	1	0	1	0	0	1	0	1	168	1	0	1	0	0	0	1	0	1	28	1	1.5725e-161	1	1.42686e-151	24	1	1.00866e-123	1	3.0459e-111	8	0.89982	0.00232842	0.355796	0.387045	0	0	1	0	1	8	0.737246	0.0368836	0.506167	0.200581	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
1-1985	8	0.528079	0.178531	0.0686531	0.871679	31	0.647908	8.12576e-05	0.827954	9.08068e-09	26	0.839523	8.27856e-08	0.188099	0.357468	0	0	1	0	1	0	0	1	0	1	168	1	0	1	0	0	0	1	0	1	36	1	6.21982e-140	1	3.28259e-139	36	1	4.73239e-144	1	2.85988e-139	10	0.845962	0.0020364	0.406245	0.244048	0	0	1	0	1	7	0.237231	0.608501	0.354513	0.435256	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
2-1985	8	0.951307	0.000278188	0.287962	0.489176	36	0.542295	0.000634126	0.299015	0.0764679	24	0.843599	2.2467e-07	-0.07701	0.720596	0	0	1	0	1	0	0	1	0	1	142	1	0	1	0	0	0	1	0	1	28	1	1.70713e-108	1	1.85446e-108	27	1	3.72622e-113	1	1.45651e-106	8	0.700126	0.0531623	0.449409	0.263942	0	0	1	0	1	5	0.748944	0.145183	0.533446	0.354547	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
3-1985	12	0.266804	0.401872	0.477612	0.116343	30	0.470856	0.00863578	0.48004	0.007261	17	0.957518	1.66933e-09	-0.243215	0.346886	0	0	1	0	1	4	0.996745	0.00325502	0.752158	0.247842	138	1	0	1	0	0	0	1	0	1	45	1	1.78931e-180	1	2.18145e-181	57	1	6.21626e-295	1	7.58725e-265	4	0.406418	0.593582	0.449352	0.550648	0	0	1	0	1	8	0.117522	0.781667	0.33217	0.421478	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
4-1985	9	-0.264997	0.490754	0.237651	0.538072	32	0.938786	2.00015e-15	0.624124	0.000134958	17	0.972856	6.06729e-11	0.308268	0.228667	0	0	1	0	1	4	0.99976	0.000240274	0.304874	0.695126	110	1	0	1	0	0	0	1	0	1	48	1	9.49867e-221	1	1.92554e-221	16	1	4.59129e-105	-1.44442e-09	1	6	-0.421084	0.405705	0.725484	0.102695	0	0	1	0	1	10	0.434057	0.210076	0.615397	0.0582371	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
5-1985	12	0.518307	0.0842869	0.636236	0.0261363	44	0.948571	1.34581e-22	0.762195	1.84746e-09	18	0.980976	8.12758e-13	-0.263666	0.290428	0	0	1	0	1	3	0.755129	0.455149	-0.499827	0.666794	103	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	12	0.384026	0.217786	0.34155	0.277224	0	0	1	0	1	16	0.165759	0.539532	0.151429	0.575598	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
6-1985	17	0.61221	0.00899596	0.190258	0.464519	48	0.924992	5.88629e-21	0.835853	1.44838e-13	17	0.897115	1.06206e-06	-0.0420437	0.872711	0	0	1	0	1	4	0.990103	0.00989653	-0.796742	0.203258	89	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	9	0.715046	0.0303659	0.086904	0.824071	0	0	1	0	1	15	0.541795	0.0369631	0.44371	0.0975711	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
7-1985	13	0.721122	0.00540736	-0.226629	0.456537	46	0.918269	2.56803e-19	0.832263	7.60214e-13	15	0.934576	3.36518e-07	-0.256376	0.356347	0	0	1	0	1	4	0.727871	0.272129	-0.1849	0.8151	103	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	15	0.778743	0.000624485	-0.394537	0.145589	0	0	1	0	1	13	0.264437	0.382626	0.259278	0.392321	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
8-1985	15	0.735534	0.00177688	-0.20879	0.455198	36	0.966556	1.13075e-21	0.733829	3.53532e-07	16	0.956178	7.40902e-09	0.317279	0.231144	0	0	1	0	1	4	0.906565	0.0934347	0.221629	0.778371	176	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	18	0.659598	0.0028999	-0.150508	0.551093	0	0	1	0	1	12	0.190829	0.55245	0.284432	0.370246	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
9-1985	10	0.965246	6.12053e-06	0.425771	0.219894	39	0.654069	6.30934e-06	0.796872	1.28721e-09	28	0.971465	8.99571e-18	0.148237	0.451565	0	0	1	0	1	5	0.97685	0.00421348	0.792351	0.109981	179	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	17	0.829091	3.88654e-05	-0.214025	0.409453	0	0	1	0	1	16	0.713961	0.00189289	0.64296	0.00721881	0	0	1	0	1	0	0	1	0	1	2	1	-nan	-1	-nan	0	0	1	0	1	
10-1985	7	0.979047	0.000120697	0.227863	0.623131	40	0.733151	7.44797e-08	0.597515	4.68535e-05	23	0.668039	0.00049473	-0.389201	0.066417	0	0	1	0	1	3	0.990677	0.0870005	0.574431	0.610446	175	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	17	0.21192	0.414185	0.0436874	0.867775	0	0	1	0	1	17	0.764947	0.000347201	0.359813	0.15602	0	0	1	0	1	0	0	1	0	1	3	0.94698	0.208235	-0.607371	0.584448	0	0	1	0	1	
11-1985	3	-0.329671	0.786124	0.173755	0.88882	42	0.782496	9.29586e-10	0.707658	1.60119e-07	18	0.59696	0.00890802	-0.48446	0.0416049	14	1	1.44375e-119	-3.74597e-09	1	4	0.855786	0.144214	0.765967	0.234033	148	1	0	1	0	0	0	1	0	1	12	1	7.875e-100	1.4542e-09	1	0	0	1	0	1	21	0.883572	1.10876e-07	0.486229	0.0254214	0	0	1	0	1	16	0.674964	0.00412202	0.1371	0.612633	0	0	1	0	1	0	0	1	0	1	1	-nan	-nan	-nan	-nan	0	0	1	0	1	
12-1985	2	0.792308	-nan	0.754241	-nan	40	0.763157	1.0313e-08	0.64912	5.87238e-06	15	0.656267	0.00788117	-0.371505	0.172755	0	0	1	0	1	2	-1	-nan	1	-nan	114	1	0	1	0	0	0	1	0	1	36	1	9.67896e-218	1	4.12836e-207	36	1	6.52897e-146	1	1.46912e-137	10	0.865468	0.00121448	0.0992536	0.785009	0	0	1	0	1	10	0.475873	0.164459	0.278199	0.436392	0	0	1	0	1	0	0	1	0	1	3	0.995776	0.0585325	0.733737	0.475549	0	0	1	0	1	
1-1986	7	0.848394	0.0158136	0.165252	0.723274	42	0.825453	1.74756e-11	0.691405	3.98593e-07	18	0.886328	9.75619e-07	-0.342927	0.163577	0	0	1	0	1	3	0.999506	0.0200176	-0.553072	0.626911	138	1	0	1	0	0	0	1	0	1	45	1	1.99753e-183	1	6.93588e-182	36	1	1.00518e-144	1	1.72259e-135	7	0.823797	0.0227097	0.81517	0.0254665	0	0	1	0	1	16	0.843984	3.95236e-05	0.66553	0.00489473	0	0	1	0	1	0	0	1	0	1	2	1	-nan	1	-nan	0	0	1	0	1	
2-1986	15	0.741017	0.00157339	0.311909	0.257743	0	0	1	0	1	17	0.802927	0.00010431	-0.214159	0.409154	0	0	1	0	1	1	-nan	-nan	-nan	-nan	140	1	0	1	0	0	0	1	0	1	37	1	1.14704e-161	1	4.50126e-160	36	1	9.06661e-150	1	5.23468e-147	7	0.572828	0.178891	0.15938	0.732851	0	0	1	0	1	12	0.618446	0.0320608	0.305524	0.334185	0	0	1	0	1	0	0	1	0	1	2	1	-nan	-1	-nan	0	0	1	0	1	
3-1986	14	0.285903	0.321733	0.653227	0.0113039	37	0.578936	0.000174083	0.58754	0.000131697	17	0.674335	0.00298887	-0.315212	0.217808	0	0	1	0	1	1	-nan	-nan	-nan	-nan	185	1	0	1	0	0	0	1	0	1	37	1	1.40953e-151	1	7.27272e-152	44	1	5.09582e-201	1	1.00567e-179	8	0.917715	0.00130828	0.737114	0.0369352	0	0	1	0	1	12	0.936706	7.18959e-06	0.418634	0.175594	0	0	1	0	1	0	0	1	0	1	1	-nan	-nan	-nan	-nan	0	0	1	0	1	
4-1986	13	0.330899	0.269445	0.753904	0.00291337	37	0.95683	2.30567e-20	0.544502	0.000493848	24	0.993096	5.67281e-22	-0.0200338	0.925971	0	0	1	0	1	0	0	1	0	1	142	1	0	1	0	0	0	1	0	1	28	1	6.11017e-139	1	2.33405e-139	0	0	1	0	1	8	0.934785	0.000659921	0.400654	0.325295	0	0	1	0	1	13	0.41298	0.160754	0.4708	0.104421	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
5-1986	19	0.669466	0.00171775	0.648768	0.00265571	21	0.926987	1.56713e-09	0.715983	0.000262199	14	0.990582	9.87193e-12	-0.016965	0.954097	0	0	1	0	1	0	0	1	0	1	86	1	0	1	0	0	0	1	0	1	12	1	1.32892e-79	-1.2942e-09	1	0	0	1	0	1	16	0.305304	0.250196	-0.151372	0.575743	0	0	1	0	1	14	0.422084	0.132749	0.710308	0.00441686	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
6-1986	15	0.734716	0.00180898	0.409607	0.129464	35	0.903595	1.07469e-13	0.869898	1.16606e-11	12	0.930304	1.15126e-05	0.0737166	0.819896	0	0	1	0	1	1	-nan	-nan	-nan	-nan	119	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	13	0.685387	0.00972005	-0.0490195	0.873647	0	0	1	0	1	12	0.824742	0.000962464	0.279484	0.378989	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
7-1986	19	0.800885	3.79093e-05	-0.0131214	0.957482	37	0.729509	3.02208e-07	0.801063	2.60661e-09	10	0.97952	7.50837e-07	-0.295055	0.407883	0	0	1	0	1	2	1	-nan	-1	-nan	113	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	15	0.570534	0.0263516	-0.246739	0.37533	0	0	1	0	1	6	0.949318	0.00378786	0.269078	0.606124	0	0	1	0	1	0	0	1	0	1	3	0.994273	0.0681687	-0.912518	0.26827	0	0	1	0	1	
8-1986	15	0.588143	0.0211049	-0.370676	0.17379	27	0.72749	1.71165e-05	0.824422	1.24488e-07	8	0.959651	0.000159292	0.768216	0.02597	0	0	1	0	1	3	0.999417	0.0217314	-0.861215	0.339408	163	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	20	0.68384	0.000885222	-0.143216	0.546936	0	0	1	0	1	13	0.767686	0.00218413	0.263449	0.384473	0	0	1	0	1	0	0	1	0	1	1	-nan	-nan	-nan	-nan	0	0	1	0	1	
9-1986	15	0.965107	6.09169e-09	0.31278	0.256345	31	0.624237	0.000174788	0.719505	5.08149e-06	16	0.966313	1.20748e-09	0.555709	0.0254174	0	0	1	0	1	4	0.965284	0.0347161	-0.17678	0.82322	122	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	22	0.786979	1.3932e-05	-0.0406748	0.857373	0	0	1	0	1	14	0.886648	2.38871e-05	0.677497	0.00776392	0	0	1	0	1	0	0	1	0	1	1	-nan	-nan	-nan	-nan	0	0	1	0	1	
10-1986	9	0.785132	0.012183	0.429513	0.248603	26	0.957536	1.82567e-14	0.858272	2.06388e-08	17	0.89581	1.16278e-06	0.310578	0.225017	0	0	1	0	1	4	0.646493	0.353507	0.204529	0.795471	95	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	21	0.768781	4.66437e-05	0.355387	0.113883	0	0	1	0	1	5	0.449735	0.447316	0.495727	0.395721	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
11-1986	6	-0.126076	0.811888	0.0434301	0.934896	26	0.907499	1.60427e-10	0.921955	2.2531e-11	13	0.963656	1.20004e-07	-0.453699	0.11942	18	1	2.97178e-124	1	1.27594e-114	2	1	-nan	-1	-nan	102	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	11	0.7254	0.0115209	0.784226	0.00427128	0	0	1	0	1	7	0.0306403	0.948008	0.351707	0.439157	0	0	1	0	1	0	0	1	0	1	4	0.997081	0.00291896	0.928152	0.0718477	0	0	1	0	1	
12-1986	8	0.0825348	0.845949	0.401423	0.32428	30	0.789966	2.09129e-07	0.884576	8.89105e-11	17	0.981064	4.17206e-12	0.678318	0.00276136	0	0	1	0	1	3	0.733133	0.476115	0.854792	0.347369	94	1	0	1	0	0	0	1	0	1	44	1	1.57412e-262	1	1.06154e-251	52	1	1.36666e-279	1	1.27589e-268	7	0.700184	0.0798027	0.336923	0.459925	0	0	1	0	1	3	0.582113	0.604452	0.656292	0.544248	0	0	1	0	1	0	0	1	0	1	3	0.999786	0.013159	0.605921	0.585609	0	0	1	0	1	
1-1987	14	0.950431	1.92386e-07	0.526889	0.0528828	30	0.791577	1.89785e-07	0.785416	2.73837e-07	22	0.923244	9.30709e-10	0.228581	0.30622	14	1	7.81903e-67	1	5.32855e-55	4	0.958548	0.041452	-0.0838088	0.916191	144	1	0	1	0	0	0	1	0	1	112	1	0	1	0	36	1	2.71626e-161	1	6.16708e-157	9	0.775813	0.0139965	0.2801	0.465388	0	0	1	0	1	3	0.768504	0.442003	0.69631	0.509648	0	0	1	0	1	0	0	1	0	1	3	0.934327	0.232003	-0.765927	0.44456	0	0	1	0	1	
2-1987	13	0.44317	0.129339	0.346483	0.246146	25	0.827443	3.364e-07	0.624097	0.00085588	21	0.848366	1.18191e-06	0.243651	0.287183	18	1	5.02734e-159	1	1.94932e-120	5	0.262251	0.669959	-0.235729	0.702663	132	1	0	1	0	0	0	1	0	1	72	1	0	1	0	12	1	4.7853e-45	-1.6837e-12	1	8	0.863682	0.00570309	0.690577	0.0579385	0	0	1	0	1	2	1	-nan	1	-nan	0	0	1	0	1	0	0	1	0	1	3	0.99979	0.01304	-0.709731	0.497633	0	0	1	0	1	
3-1987	9	-0.0172927	0.96478	0.404462	0.280257	27	0.664146	0.000158346	0.184695	0.356394	19	0.678338	0.00141066	0.0897767	0.714738	20	1	4.18659e-118	1	1.38163e-103	5	0.39414	0.51148	0.107723	0.863109	147	1	0	1	0	0	0	1	0	1	61	1	8.4718e-281	1	4.57853e-282	18	1	2.0134e-85	1	2.71555e-67	7	0.422443	0.345079	0.705003	0.0768551	0	0	1	0	1	2	1	-nan	-1	-nan	0	0	1	0	1	0	0	1	0	1	2	1	-nan	1	-nan	0	0	1	0	1	
