"xmin","ymin","xmax","ymax","Polygon_ID"
-180,-16.2595693511321,179.998834296595,-16.0302091618441,1
-180,-16.6320776597922,179.998834296595,-16.3375184345919,2
-180,-17.0568962170803,179.999417152744,-16.5878205850762,3
-180,-16.633551327748,179.998834296595,-16.3993652992078,4
-180,-17.0923296420917,179.997668557617,-16.6939796604794,5
-180,-17.0977028608224,179.990673376771,-16.0522565594252,6
-178.696448570506,-19.2684522232168,-178.437965329312,-19.018780390172,7
-179.068089712149,-19.0781006048504,-178.834703021179,-18.8357598178744,8
-179.967346861252,-19.0972838832661,-179.691022312581,-18.832797184934,9
-178.940189346002,-18.3363943668487,-178.650664393244,-18.0812240929544,10
-179.174171048653,-18.0976147635045,-178.933005608374,-17.8619947062083,11
-178.452501215839,-18.0540064817264,-178.143778239414,-17.7916847257862,12
-179.115800824391,-17.4060173410315,-178.814294133417,-17.0574191732461,13
179.643992354772,-19.2830131311342,179.897282033483,-19.0318015703616,14
177.854975483077,-19.2503910730269,178.595175065724,-18.8299196935234,15
178.37613297432,-19.0171418669144,178.63378402827,-18.7660784385591,16
-180,-18.7526439769554,179.998834296595,-18.4661640962896,17
177.523511295312,-18.6789759589283,177.759112003653,-18.3950653823587,18
178.01307065061,-18.5060612368668,178.25098567594,-18.2582822434665,19
179.13725266359,-18.210027027289,179.457672923299,-17.8421874016046,20
179.296594656238,-17.9405267083305,179.527350656557,-17.6901222892538,21
178.618103376405,-17.8709175023992,178.874291776392,-17.6202441196028,22
178.644636464385,-17.8397332497175,178.930610752117,-17.5261376004352,23
178.901861675934,-17.7465539089002,179.136061190653,-17.502150988397,24
177.152263005479,-18.3692953287694,178.807088614604,-17.1993517431136,25
176.998689085195,-17.4012035918635,177.258101637557,-17.1541378353693,26
179.272852066196,-17.487507335662,179.547404580784,-17.1505511536442,27
177.079907680028,-17.2620066343957,177.388515145117,-16.9560296820673,28
177.277997641046,-17.0272007158815,177.538349186352,-16.7705059309199,29
178.185230418381,-16.9258088686466,178.430695541802,-16.6956492814053,30
177.333909938114,-16.9318506839333,177.690161394199,-16.5852556397499,31
-180,-16.7455699667424,179.999125725781,-16.5171538923713,32
178.465821456702,-16.6863510649143,178.716914885693,-16.4816999168714,33
179.233646238663,-16.4308384924282,179.483668751827,-16.2363999678433,34
176.91357446572,-12.6073929893288,177.222018663728,-12.3848409717973,35
174.492064391523,-21.8023364199849,174.728944225462,-21.5771861560465,36
-178.827501023732,-20.7626493879733,-178.610864195637,-20.5511044405038,37
-178.326360311746,-19.9306001948972,-178.119376320717,-19.724893460784,38
-178.517851793753,-19.2690428542359,-178.293551939714,-19.0367789397723,39
-179.026296869652,-18.9753906212145,-178.78426294342,-18.7640951175853,40
-178.612070811574,-18.7571226381285,-178.390689746425,-18.5432456198036,41
-179.431660101983,-17.8645814516623,-179.184883017282,-17.6321024234547,42
-179.270477038294,-17.5620924725803,-179.035853270508,-17.3342175318671,43
-179.252659874607,-17.3742124489124,-179.033464378627,-17.1569602141595,44
163.840436048762,-20.1742545262188,164.082883859264,-19.9085533439758,45
167.320955519429,-22.7620366779913,167.653612452352,-22.4452912853979,46
166.673034766651,-22.5543763138665,166.941260051718,-22.3036930251176,47
167.710868550403,-21.7512340027777,168.241918681437,-21.2427396114338,48
166.294250664689,-20.8315653681662,166.556048057055,-20.6276732300963,49
166.923972710605,-21.2736009847632,167.561941914222,-20.5794519570538,50
166.381092240043,-20.8056971941311,166.776932385985,-20.2906367101023,51
163.888949884655,-22.4996076803231,167.14851634901,-19.9750508512125,52
164.066730211005,-20.2497099842311,164.336752238911,-19.9706298323764,53
163.519655967852,-19.8790360196083,163.791910285124,-19.532162370066,54
171.240868930026,-22.440022475204,171.441632444561,-22.2539621639884,55
-158.065636429203,-22.0302309150597,-157.789913817226,-21.7861621018655,56
-157.839094389933,-19.9471145824463,-157.611086836621,-19.6758539758159,57
-158.099917313794,-9.07199391277156,-157.849526785456,-8.85597273506685,58
-159.943122869763,-21.3455468668734,-159.63932987869,-21.0948410834691,59
-157.445691216621,-20.270550235646,-157.216261897778,-20.0461297933622,60
-158.231081325141,-20.1109739229556,-157.982171363711,-19.8815417746792,61
-158.377152871184,-19.9240171192485,-158.171460922229,-19.7305981904891,62
-158.393548706849,-19.908647139704,-158.190837491034,-19.719232221411,63
-159.050826653354,-19.3605126347394,-158.82280815213,-19.1507688787108,64
-165.917290411559,-10.9827680415197,-165.715342313746,-10.7891839814158,65
-161.088403619913,-10.5139958666522,-160.846184340544,-10.2802830456166,66
-161.18049883722,-10.1358914965672,-160.978456187907,-9.93659804271005,67
-159.898455012935,-18.9793170538444,-159.66613974572,-18.7376233074879,68
134.138793407872,6.89242996569466,134.375666677079,7.16602561161119,69
134.255008565389,7.12742657356549,134.5549014338,7.40881990149231,70
134.356760198923,7.21757850231508,134.618412677758,7.45446780699694,71
134.392203651362,7.2638919029419,134.754552733746,7.82627288992194,72
131.040663065487,2.92819688128254,131.283367378055,3.15106512424547,73
132.122682513732,5.20143000002929,132.317561674072,5.40103905423217,74
134.046093613131,6.79357883948413,134.269219553938,7.02597931906142,75
131.684709773448,2.85814784873573,131.903519926305,3.06828069324932,76
134.600779309473,7.95922804268048,134.818962772769,8.18764073055178,77
