length	sum_alb_region_1	sum_alb_region_2	sum_alb_region_3	sum_alb_region_4	sum_alb_region_5	sum_alb_region_6	sum_alb_region_7	sum_alb_region_8	
Quarter 1	
24.04	0	0	0	0	0	0	0	0	0	0	
25.91	0	0	0	0	0	0	0	0	0	0	
27.75	0	0	0	0	0	0	0	0	0	0	
29.55	0	0	0	0	0	0	0	0	0	0	
31.31	0	0	0	0	0	0	0	0	0	0	
33.04	0	0	0	0	0	0	0	0	0	0	
34.73	0	0	0	0	0	0	0	0	0	0	
36.38	0	0	0	0	0	0	0	0	0	0	
38	0	0	0	0	0	0	0	0	0	0	
39.59	0	0	0	0	0	0	0	0	0	0	
41.15	0	0	0	0	0	0	0	0	0	0	
42.67	0	0	0	0	0	0	0	0	0	0	
44.17	0	0	0	0	0	0	0	0	0	0	
45.63	0	0	0	0	0	0	0	0	0	0	
47.06	0	0	0	0	0	0	0	0	0	0	
48.47	0	0	0	0	0	0	0	0	0	0	
49.84	0	0	0	0	0	0	0	0	0	0	
51.19	0	0	0	0	0	0	0	0	0	0	
52.51	0	0	0	0	0	0	0	0	0	0	
53.8	0	0	0	0	0	0	0	0	0	0	
55.07	0	0	0	0	0	0	0	0	0	0	
56.31	0	0	0	0	0	0	0	0	0	0	
57.52	0	0	0	0	0	0	0	0	0	0	
58.71	0	0	0	0	0	0	0	0	0	0	
59.88	0	0	0	0	0	0	0	0	0	0	
61.02	0	0	0	0	0	0	0	0	0	0	
62.14	0	0	0	0	0	0	0	0	0	0	
63.23	0	0	0	0	0	0	0	0	0	0	
64.31	0	0	0	0	0	0	0	0	0	0	
65.36	0	0	0	0	0	0	0	0	0	0	
66.39	0	0	0	0	0	0	0	0	0	0	
67.39	0	0	0	0	0	0	0	0	0	0	
68.38	0	0	0	0	0	0	0	0	0	0	
69.35	0	0	0	0	0	0	0	0	0	0	
70.3	0	0	0	0	0	0	0	0	0	0	
71.23	0	0	0	0	0	0	0	0	0	0	
72.14	0	0	0	0	0	0	0	0	0	0	
73.03	0	0	0	0	0	0	0	0	0	0	
73.9	0	0	0	0	0	0	0	0	0	0	
74.75	0	0	0	0	0	0	0	0	0	0	
75.59	0	0	0	0	0	0	0	0	0	0	
76.41	0	0	0	0	0	0	0	0	0	0	
77.22	0	0	0	0	0	0	0	0	0	0	
78	0	0	0	0	0	0	0	0	0	0	
78.77	0	0	0	0	0	0	0	0	0	0	
